fecha,metrica,tipo_credito,valor
2017-01-31,morosidad_publicada,pequenas_empresas,9.040442
2017-01-31,deudores,total,4192468.000000
2017-01-31,mora_120d,total,2.153935
2017-01-31,mora_30d,total,3.511913
2017-01-31,mora_60d,total,2.905799
2017-01-31,mora_90d,total,2.458772
2017-01-31,morosidad_contable,total,2.960000
2017-01-31,morosidad_publicada,total,2.956424
2017-02-28,deudores,consumo,3383180.000000
2017-02-28,morosidad_publicada,consumo,3.742691
2017-02-28,deudores,corporativo,723.000000
2017-02-28,morosidad_publicada,corporativo,0.001420
2017-02-28,deudores,grandes_empresas,2762.000000
2017-02-28,morosidad_publicada,grandes_empresas,1.089646
2017-02-28,deudores,hipotecario,209469.000000
2017-02-28,morosidad_publicada,hipotecario,2.376827
2017-02-28,deudores,medianas_empresas,28589.000000
2017-02-28,morosidad_publicada,medianas_empresas,6.789346
2017-02-28,deudores,microempresas,597668.000000
2017-02-28,morosidad_publicada,microempresas,3.219522
2017-02-28,deudores,pequenas_empresas,236277.000000
2017-02-28,morosidad_publicada,pequenas_empresas,9.229458
2017-02-28,deudores,total,4195003.000000
2017-02-28,mora_120d,total,2.174473
2017-02-28,mora_30d,total,3.561448
2017-02-28,mora_60d,total,2.917453
2017-02-28,mora_90d,total,2.487609
2017-02-28,morosidad_contable,total,2.980000
2017-02-28,morosidad_publicada,total,2.983391
2017-03-31,deudores,consumo,3374160.000000
2017-03-31,morosidad_publicada,consumo,3.705992
2017-03-31,deudores,corporativo,720.000000
2017-03-31,morosidad_publicada,corporativo,0.009222
2017-03-31,deudores,grandes_empresas,2932.000000
2017-03-31,morosidad_publicada,grandes_empresas,1.034107
2017-03-31,deudores,hipotecario,210219.000000
2017-03-31,morosidad_publicada,hipotecario,2.432755
2017-03-31,deudores,medianas_empresas,28759.000000
2017-03-31,morosidad_publicada,medianas_empresas,6.838168
2017-03-31,deudores,microempresas,596904.000000
2017-03-31,morosidad_publicada,microempresas,3.538013
2017-03-31,deudores,pequenas_empresas,237124.000000
2017-03-31,morosidad_publicada,pequenas_empresas,9.412552
2017-03-31,deudores,total,4188097.000000
2017-03-31,mora_120d,total,2.204088
2017-03-31,mora_30d,total,3.675537
2017-03-31,mora_60d,total,2.935153
2017-03-31,mora_90d,total,2.523641
2017-03-31,morosidad_contable,total,3.010000
2017-03-31,morosidad_publicada,total,3.005452
2017-04-30,deudores,consumo,3369382.000000
2017-04-30,morosidad_publicada,consumo,3.755905
2017-04-30,deudores,corporativo,718.000000
2017-04-30,morosidad_publicada,corporativo,0.008653
2017-04-30,deudores,grandes_empresas,2929.000000
2017-04-30,morosidad_publicada,grandes_empresas,1.206137
2017-04-30,deudores,hipotecario,210444.000000
2017-04-30,morosidad_publicada,hipotecario,2.426198
2017-04-30,deudores,medianas_empresas,28841.000000
2017-04-30,morosidad_publicada,medianas_empresas,7.039453
2017-04-30,deudores,microempresas,595775.000000
2017-04-30,morosidad_publicada,microempresas,3.538249
2017-04-30,deudores,pequenas_empresas,238283.000000
2017-04-30,morosidad_publicada,pequenas_empresas,9.450805
2017-04-30,deudores,total,4184305.000000
