fecha,entidad_id,tipo_credito,deudores
2015-05-31,SCOTIABANK,microempresas,4506.000000
2015-05-31,SCOTIABANK,pequenas_empresas,48804.000000
2015-06-30,ALFIN,consumo,387612.000000
2015-06-30,BANCOM,consumo,63313.000000
2015-06-30,BANCOM,corporativo,6.000000
2015-06-30,BANCOM,grandes_empresas,46.000000
2015-06-30,BANCOM,hipotecario,319.000000
2015-06-30,BANCOM,medianas_empresas,186.000000
2015-06-30,BANCOM,microempresas,645.000000
2015-06-30,BANCOM,pequenas_empresas,793.000000
2015-06-30,BBVA,consumo,350791.000000
2015-06-30,BBVA,corporativo,229.000000
2015-06-30,BBVA,grandes_empresas,1563.000000
2015-06-30,BBVA,hipotecario,50019.000000
2015-06-30,BBVA,medianas_empresas,13805.000000
2015-06-30,BBVA,microempresas,2787.000000
2015-06-30,BBVA,pequenas_empresas,17079.000000
2015-06-30,BCP,consumo,866488.000000
2015-06-30,BCP,corporativo,427.000000
2015-06-30,BCP,grandes_empresas,1653.000000
2015-06-30,BCP,hipotecario,62812.000000
2015-06-30,BCP,medianas_empresas,16768.000000
2015-06-30,BCP,microempresas,26714.000000
2015-06-30,BCP,pequenas_empresas,63725.000000
2015-06-30,BIF,consumo,62505.000000
2015-06-30,BIF,corporativo,68.000000
2015-06-30,BIF,grandes_empresas,363.000000
2015-06-30,BIF,hipotecario,9628.000000
2015-06-30,BIF,medianas_empresas,3936.000000
2015-06-30,BIF,microempresas,3106.000000
2015-06-30,BIF,pequenas_empresas,3041.000000
2015-06-30,CENCOSUD,consumo,272417.000000
2015-06-30,CITIBANK,corporativo,40.000000
2015-06-30,CITIBANK,grandes_empresas,59.000000
2015-06-30,CITIBANK,medianas_empresas,15.000000
2015-06-30,CITIBANK,microempresas,7.000000
2015-06-30,CITIBANK,pequenas_empresas,6.000000
2015-06-30,FALABELLA,consumo,1121269.000000
2015-06-30,FALABELLA,grandes_empresas,1.000000
2015-06-30,FALABELLA,hipotecario,211.000000
2015-06-30,FALABELLA,medianas_empresas,1.000000
2015-06-30,GNB,consumo,43754.000000
2015-06-30,GNB,corporativo,28.000000
2015-06-30,GNB,grandes_empresas,158.000000
2015-06-30,GNB,hipotecario,4571.000000
2015-06-30,GNB,medianas_empresas,458.000000
2015-06-30,GNB,microempresas,10.000000
2015-06-30,GNB,pequenas_empresas,105.000000
2015-06-30,ICBC,corporativo,7.000000
2015-06-30,ICBC,grandes_empresas,3.000000
2015-06-30,INTERBANK,consumo,857544.000000
2015-06-30,INTERBANK,corporativo,128.000000
2015-06-30,INTERBANK,grandes_empresas,542.000000
2015-06-30,INTERBANK,hipotecario,36494.000000
2015-06-30,INTERBANK,medianas_empresas,3821.000000
2015-06-30,INTERBANK,microempresas,1043.000000
2015-06-30,INTERBANK,pequenas_empresas,8060.000000
2015-06-30,MIBANCO,consumo,199217.000000
2015-06-30,MIBANCO,hipotecario,4650.000000
2015-06-30,MIBANCO,medianas_empresas,2550.000000
2015-06-30,MIBANCO,microempresas,556123.000000
2015-06-30,MIBANCO,pequenas_empresas,125151.000000
2015-06-30,PICHINCHA,consumo,252367.000000
2015-06-30,PICHINCHA,corporativo,111.000000
2015-06-30,PICHINCHA,grandes_empresas,291.000000
2015-06-30,PICHINCHA,hipotecario,8234.000000
2015-06-30,PICHINCHA,medianas_empresas,2213.000000
2015-06-30,PICHINCHA,microempresas,18114.000000
2015-06-30,PICHINCHA,pequenas_empresas,16804.000000
2015-06-30,RIPLEY,consumo,500028.000000
2015-06-30,RIPLEY,microempresas,9.000000
2015-06-30,SANTANDER,consumo,18.000000
2015-06-30,SANTANDER,corporativo,60.000000
2015-06-30,SANTANDER,grandes_empresas,195.000000
2015-06-30,SANTANDER,medianas_empresas,142.000000
2015-06-30,SANTANDER,pequenas_empresas,5.000000
2015-06-30,SCOTIABANK,consumo,346892.000000
2015-06-30,SCOTIABANK,corporativo,220.000000
2015-06-30,SCOTIABANK,grandes_empresas,1121.000000
2015-06-30,SCOTIABANK,hipotecario,29202.000000
2015-06-30,SCOTIABANK,medianas_empresas,10956.000000
2015-06-30,SCOTIABANK,microempresas,4426.000000
2015-06-30,SCOTIABANK,pequenas_empresas,48077.000000
2015-07-31,ALFIN,consumo,374196.000000
2015-07-31,BANCOM,consumo,63511.000000
2015-07-31,BANCOM,corporativo,5.000000
2015-07-31,BANCOM,grandes_empresas,48.000000
2015-07-31,BANCOM,hipotecario,317.000000
2015-07-31,BANCOM,medianas_empresas,174.000000
2015-07-31,BANCOM,microempresas,600.000000
2015-07-31,BANCOM,pequenas_empresas,780.000000
2015-07-31,BBVA,consumo,350467.000000
2015-07-31,BBVA,corporativo,230.000000
2015-07-31,BBVA,grandes_empresas,1572.000000
2015-07-31,BBVA,hipotecario,50003.000000
2015-07-31,BBVA,medianas_empresas,13767.000000
2015-07-31,BBVA,microempresas,2861.000000
2015-07-31,BBVA,pequenas_empresas,17051.000000
2015-07-31,BCP,consumo,849654.000000
2015-07-31,BCP,corporativo,409.000000
2015-07-31,BCP,grandes_empresas,1769.000000
2015-07-31,BCP,hipotecario,62752.000000
2015-07-31,BCP,medianas_empresas,16796.000000
2015-07-31,BCP,microempresas,26061.000000
2015-07-31,BCP,pequenas_empresas,63203.000000
2015-07-31,BIF,consumo,61890.000000
2015-07-31,BIF,corporativo,71.000000
2015-07-31,BIF,grandes_empresas,366.000000
2015-07-31,BIF,hipotecario,9720.000000
2015-07-31,BIF,medianas_empresas,3902.000000
2015-07-31,BIF,microempresas,2959.000000
2015-07-31,BIF,pequenas_empresas,3014.000000
2015-07-31,CENCOSUD,consumo,281195.000000
2015-07-31,CITIBANK,corporativo,43.000000
2015-07-31,CITIBANK,grandes_empresas,55.000000
2015-07-31,CITIBANK,medianas_empresas,16.000000
2015-07-31,CITIBANK,microempresas,8.000000
2015-07-31,CITIBANK,pequenas_empresas,6.000000
2015-07-31,FALABELLA,consumo,1124241.000000
2015-07-31,FALABELLA,grandes_empresas,1.000000
2015-07-31,FALABELLA,hipotecario,211.000000
2015-07-31,FALABELLA,medianas_empresas,1.000000
2015-07-31,GNB,consumo,43682.000000
2015-07-31,GNB,corporativo,27.000000
2015-07-31,GNB,grandes_empresas,162.000000
2015-07-31,GNB,hipotecario,4680.000000
2015-07-31,GNB,medianas_empresas,456.000000
2015-07-31,GNB,microempresas,12.000000
2015-07-31,GNB,pequenas_empresas,116.000000
2015-07-31,ICBC,corporativo,9.000000
2015-07-31,ICBC,grandes_empresas,4.000000
2015-07-31,INTERBANK,consumo,861247.000000
2015-07-31,INTERBANK,corporativo,122.000000
2015-07-31,INTERBANK,grandes_empresas,700.000000
2015-07-31,INTERBANK,hipotecario,36600.000000
2015-07-31,INTERBANK,medianas_empresas,3669.000000
2015-07-31,INTERBANK,microempresas,1035.000000
2015-07-31,INTERBANK,pequenas_empresas,8026.000000
2015-07-31,MIBANCO,consumo,200012.000000
2015-07-31,MIBANCO,hipotecario,4666.000000
2015-07-31,MIBANCO,medianas_empresas,2478.000000
2015-07-31,MIBANCO,microempresas,552671.000000
2015-07-31,MIBANCO,pequenas_empresas,125647.000000
2015-07-31,PICHINCHA,consumo,250077.000000
